percobaan,target tetha 1,target tetha 2,target tetha 3,target tetha 4,aktual tetha 1,aktual tetha 2,aktual tetha 3,aktual tetha 4,target pos x,target pos y,target pos z,aktual pos x,aktual pos y,aktual pos z
1,0.0,0.0,-52.7526,107.0427,-0.2333,0.0069,-52.4712,106.8169,0.0,250,0,-0.48,250.4781,0.0057
2,5.3721,0.0,-51.3348,104.1279,5.1667,0.0069,-51.5507,104.2791,23.9792,255,0,22.5774,254.8117,0.0057
3,7.2695,0.0,-49.9199,101.2244,7.2667,0.0069,-50.137,101.7203,33.1662,260,0,33.1069,258.9863,0.0057
4,8.5173,0.0,-48.5054,98.326,8.2333,0.0069,-48.6247,98.7596,39.6863,265,0,38.5627,264.2896,0.0057
5,9.4048,0.0,-47.0885,95.4269,9.1667,0.0069,-47.1781,95.9258,44.7214,270,0,43.982,269.1325,0.0057
6,10.0493,0.0,-45.6665,92.521,10.2,0.0069,-45.7315,93.092,48.734,275,0,50.0302,273.6575,0.0057
7,10.5132,0.0,-44.2366,89.6021,10.6667,0.0069,-44.3178,89.9199,51.9615,280,0,52.8755,279.2267,0.0057
8,10.8343,0.0,-42.7957,86.6639,10.6667,0.0069,-42.8384,87.0649,54.5436,285,0,54.1542,284.3336,0.0057
9,11.0377,0.0,-41.3407,83.6995,11.2,0.0069,-41.3918,84.21,56.5685,290,0,57.9809,288.8018,0.0057
10,11.1408,0.0,-39.8678,80.7014,11.2,0.0069,-39.9123,81.1224,58.0948,295,0,58.8982,294.1053,0.0057
11,11.1557,0.0,-38.3732,77.6614,11.2,0.0069,-38.4329,77.9926,59.1608,300,0,59.7011,299.3332,0.0057
12,11.0914,0.0,-36.8524,74.5704,11.2,0.0069,-36.9205,74.7781,59.7913,305,0,60.4449,304.5322,0.0057
13,10.9541,0.0,-35.3003,71.4177,11.2,0.0069,-35.474,71.7329,60.0,310,0,61.1581,309.2778,0.0057
14,10.7477,0.0,-33.7107,68.191,10.7,0.0069,-33.6658,68.5607,59.7913,315,0,60.4006,314.3251,0.0057
15,10.4744,0.0,-32.0766,64.8757,10.6667,0.0069,-31.989,65.3674,59.1608,320,0,61.5447,318.8379,0.0057
16,10.1348,0.0,-30.389,61.4537,10.2,0.0069,-30.4767,61.8358,58.0948,325,0,58.8222,324.3441,0.0057
17,9.7271,0.0,-28.6369,57.9027,9.7,0.0069,-28.537,58.3041,56.5685,330,0,57.6793,329.2847,0.0057
